"","name","hmax","a","b","detection_prob","occupancy"
"1","Acabra",145.42035,4.226643,1.720544,2,0.9
"2","Acamon",103.65811,4.543715,1.555347,10,0.9
"3","Acawil",115.94892,3.849143,1.818385,20,0.9
"4","Beyopa",89.81047,3.226788,2.12257,5,0.9
"5","Codon",459.25922,4.58045,1.818912,5,0.9
"6","Dodbur",64.7051,4.489764,1.441581,2,0.9
"7","Erecrass",48.75292,4.770788,1.26556,2,0.9
"8","Eregla",81.85831,3.483222,1.92708,2,0.4
"9","EucBlue",258.23389,6.622986,1.13305,2,0.4
"10","EucGreen",267.63473,6.644306,1.136036,2,0.4
"11","Grehue",81.73318,4.597916,1.551051,10,0.4
"12","Halcya",42.15995,4.892076,1.203531,3,0.4
"13","Mellan",211.01529,4.385591,1.670703,4,0.4
"14","Olemul",62.83146,4.410173,1.481089,5,0.4
"15","Olepim",86.18343,4.462377,1.515627,6,0.4
"16","Olesub",84.9624,4.70041,1.431935,7,0.2
"17","Phebalium",57.87685,4.362824,1.479525,3,0.2
"18","ProstantheraGreen",41.01645,5.073423,1.149516,5,0.1
"19","Senart",143.17702,4.68933,1.570982,3,0.1
"20","Wesrig",59.73425,3.371535,1.903793,5,0.1
